date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:22:06	50224/50224	---M--	200	added ('OK')	text/plain	etag:%223a4b6f-c430-52487732a429b%22	http://mate.creatingo.com/assets/font/roboto/Roboto-Medium.woff2	C:/My%20Web%20Sites/Mate/mate.creatingo.com/assets/font/roboto/Roboto-Medium.woff2	(from http://mate.creatingo.com/assets/css/materialize.css)
19:22:12	62980/62980	---M--	200	added ('OK')	text/plain	etag:%223a4b6e-f604-5248773227a79%22	http://mate.creatingo.com/assets/font/roboto/Roboto-Medium.woff	C:/My%20Web%20Sites/Mate/mate.creatingo.com/assets/font/roboto/Roboto-Medium.woff	(from http://mate.creatingo.com/assets/css/materialize.css)
19:22:15	49976/49976	---M--	200	added ('OK')	text/plain	etag:%223a4b69-c338-5248772e696e0%22	http://mate.creatingo.com/assets/font/roboto/Roboto-Bold.woff2	C:/My%20Web%20Sites/Mate/mate.creatingo.com/assets/font/roboto/Roboto-Bold.woff2	(from http://mate.creatingo.com/assets/css/materialize.css)
19:22:15	126072/126072	---M--	200	added ('OK')	text/plain	etag:%223a4b70-1ec78-52487733af7d4%22	http://mate.creatingo.com/assets/font/roboto/Roboto-Regular.ttf	C:/My%20Web%20Sites/Mate/mate.creatingo.com/assets/font/roboto/Roboto-Regular.ttf	(from http://mate.creatingo.com/assets/css/materialize.css)
19:22:19	23085/23085	---M-Z	200	added ('OK')	text/html	etag:%223a5603-5a2d-5265f09b3ad47%22	http://mate.creatingo.com/index.html	C:/My%20Web%20Sites/Mate/mate.creatingo.com/index-2.html	(from http://mate.creatingo.com/account.html)
19:22:21	62876/62876	---M--	200	added ('OK')	text/plain	etag:%223a4b68-f59c-5248772dec6ef%22	http://mate.creatingo.com/assets/font/roboto/Roboto-Bold.woff	C:/My%20Web%20Sites/Mate/mate.creatingo.com/assets/font/roboto/Roboto-Bold.woff	(from http://mate.creatingo.com/assets/css/materialize.css)
19:22:22	127488/127488	---M--	200	added ('OK')	text/plain	etag:%223a4b6d-1f200-5248773191833%22	http://mate.creatingo.com/assets/font/roboto/Roboto-Medium.ttf	C:/My%20Web%20Sites/Mate/mate.creatingo.com/assets/font/roboto/Roboto-Medium.ttf	(from http://mate.creatingo.com/assets/css/materialize.css)
19:22:24	39417/39417	---M--	200	added ('OK')	image/jpeg	etag:%223a4b80-99f9-5262aaa807956%22	http://mate.creatingo.com/imgs/operator-female-smile_sml01.jpg	C:/My%20Web%20Sites/Mate/mate.creatingo.com/imgs/operator-female-smile_sml01.jpg	(from http://mate.creatingo.com/account.html)
19:22:27	707/707	---M--	200	added ('OK')	image/svg+xml	etag:%223a4b86-2c3-5262aaaa231eb%22	http://mate.creatingo.com/imgs/facebook.svg	C:/My%20Web%20Sites/Mate/mate.creatingo.com/imgs/facebook.svg	(from http://mate.creatingo.com/account.html)
19:22:27	1088/1088	---M--	200	added ('OK')	image/svg+xml	etag:%223a4b87-440-5262aaaa458af%22	http://mate.creatingo.com/imgs/twitter.svg	C:/My%20Web%20Sites/Mate/mate.creatingo.com/imgs/twitter.svg	(from http://mate.creatingo.com/account.html)
